DBCODE,ENTITY,QUALTRICSID,TIME,GEND,AGE,AGE_RANGE,INCO,EDU,RACE,ORG_DON,ORG_VOL,ENV_ID,INATT_CON,POL_OR,REL,SODES_1,SODES_2,SODES_3,SODES_4,SODES_5,SODES_6,SODES_7,SODES_8,SODES_9,SODES_10,SODES_11,SODES_12,SODES_13,MINC1_A1,MINC2_A2,MINC3_A3,MINC4_Z1,MINC5_Z2,MINC6_B1,MINC7_B2,MINC8_E1,MINC9_E2,MINC10_E3,MINC11_E4,MINC12_E5,MINC13_E6,MINC14_Z3,MINC15_Z4,MINC16_B3,MINC17_B4,MINC18_A4,MINC19_A5,MINC20_A6,MINC21_A7,MINC22_Z5,MINC23_Z6,MINC24_Z7,MINC25_Z8,MINC26_Z9,MINC27_B5,MINC28_B6,MINC29_B7,MINC30_B8,MINC31_E7,MINC32_E8,MINC33_E9,MINC34_E10,MINC35_Z10,MINC36_Z11,MINC37_Z12,MINC38_Z13,MINC39_Z14,MINC40_B9,MINC41_B10,MINC42_B11,MINC43_B12,MINC44_E11,MINC45_E12,MINC46_E13,MINC47_E14,TRT_CAT,TRT_ATT1,TRT_ATT2,TRT_ATT3,MOSA_1,MOSA_2,MOSA_3,HYDON1,HYDON2,HYDON3,MC1_MFI1,MC2_MFI2,MC3_MFB1,MC4_MFB2,MC5_MWH,MC6_MWNH,MC7_EMO,DON,DON2
SS007,1,18,801,1,36,3,2,4,3,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,1,4,7,7,7,7,7,7,4,7,7,4,7,1,1,1,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,1,5,1,7,7,4,4,7,4,7,5,1
SS007,1,19,704,2,50,4,99,7,3,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,5,5,6,7,7,3,5,5,3,6,6,3,6,3,2,1,6,4,6,5,5,7,7,6,6,2,4,5,3,2,6,1,6,6,7,7,6,6,1,4,5,3,3,5,2,6,6,1,6,6,5,5,6,6,1,20,1,5,4,3,6,5,5,5,0.5,1
SS007,1,20,677,1,60,5,99,6,3,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,2,5,4,7,7,7,5,5,5,3,6,6,2,6,5,2,3,6,6,6,5,5,6,6,6,6,6,6,6,3,2,6,5,6,6,7,7,7,7,6,6,6,6,2,7,6,7,7,2,6,6,5,5,5,5,2,0,0,5,5,4,5,6,6,4,5,1
SS007,1,21,556,1,29,2,3,6,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,7,6,7,6,7,2,5,7,1,7,7,1,6,5,2,1,7,7,7,7,7,7,7,7,7,3,3,6,3,3,7,1,7,7,7,7,7,7,1,3,7,5,3,7,1,7,7,5,7,7,7,7,7,7,2,0,0,7,5,3,7,7,7,5,0,0
SS007,1,22,655,1,58,5,3,2,3,3,2,3,1,2,3,1,2,2,2,1,2,2,2,1,2,1,1,1,7,5,7,6,7,4,4,4,3,7,7,5,7,1,1,1,5,7,7,7,7,7,7,7,4,1,1,3,1,1,7,1,5,7,7,4,7,1,1,5,7,1,1,7,1,7,7,2,7,7,4,4,6,7,2,0,0,7,7,4,7,7,7,6,0.47,1
SS007,1,23,676,1,33,2,4,5,3,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,7,4,7,5,5,4,3,4,3,4,5,4,4,2,4,2,3,6,7,7,7,6,6,6,6,4,3,5,2,2,5,3,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,2,0,0,3,4,5,5,5,5,3,0,0
SS007,1,24,953,2,46,4,5,3,3,1,2,3,3,3,2,2,1,1,1,2,1,2,1,2,2,1,1,2,5,4,7,4,4,6,2,5,3,3,5,3,4,1,1,1,3,5,7,5,3,4,5,5,5,1,3,5,1,1,6,2,6,6,4,4,5,4,2,3,4,4,2,4,3,5,5,6,4,4,2,5,4,3,2,0,0,6,4,3,4,6,6,1,0,0
SS007,1,25,869,2,19,1,1,2,3,1,1,2,1,4,1,1,2,1,2,1,2,1,2,1,1,2,2,1,7,4,7,7,7,4,2,5,2,6,6,1,7,6,4,2,6,6,6,5,7,7,7,7,7,3,3,5,3,1,7,1,7,7,7,7,7,7,2,3,6,3,1,7,1,7,7,5,7,7,6,7,7,7,1,100,1,7,7,7,7,7,7,7,1,1
SS007,1,26,305,2,37,3,3,3,3,2,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,4,4,4,4,4,4,4,0,0
SS007,1,27,659,1,38,3,99,6,3,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,5,4,5,4,5,3,5,5,3,4,5,2,5,4,5,3,5,5,5,5,5,5,5,5,5,3,4,5,2,2,4,1,5,5,5,5,5,5,2,4,5,2,2,4,2,5,5,1,5,5,5,5,5,5,1,0,0,5,4,5,5,5,5,5,2,1
SS007,1,28,508,2,31,2,3,6,1,1,1,1,1,4,3,1,1,1,2,2,2,2,2,1,2,1,1,2,7,5,6,7,6,1,4,6,2,6,2,1,2,5,3,2,6,5,6,6,5,3,2,2,2,4,3,2,1,1,3,3,6,6,5,3,4,4,2,1,3,1,2,5,1,6,6,2,6,6,4,6,5,6,1,1,1,6,6,7,7,7,1,5,0,0
SS007,1,29,1152,2,80,7,4,3,3,1,2,1,1,2,3,1,1,2,2,1,2,2,2,1,2,2,2,1,5,5,6,6,5,2,6,5,2,5,5,2,5,3,4,3,6,6,6,6,6,6,6,5,6,2,5,6,3,2,2,2,5,5,5,6,3,5,4,5,6,3,2,6,2,5,5,2,6,6,6,6,6,6,1,10,1,6,5,4,5,6,5,5,0,0
SS007,1,30,899,2,39,3,1,7,2,2,2,1,1,6,1,2,1,2,2,1,2,1,2,1,2,1,1,1,4,6,7,6,6,5,5,6,2,6,7,2,7,3,4,1,5,2,6,5,5,6,6,4,6,1,2,5,2,2,7,1,7,6,5,6,5,6,1,4,6,2,1,7,1,7,6,5,7,7,4,2,4,7,2,0,0,2,2,2,6,5,4,1,5,1
SS007,1,31,465,1,24,1,4,7,3,2,2,3,1,2,3,2,1,2,2,1,2,2,1,1,2,1,1,1,7,7,7,7,7,4,4,7,1,7,7,1,7,3,1,1,5,7,7,7,7,7,7,7,7,1,4,4,2,4,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,7,6,2,0,0,6,4,4,6,4,6,4,0.23,1
SS007,1,32,842,2,38,3,6,6,3,1,2,3,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,2,7,5,7,6,7,6,2,7,1,7,7,1,7,2,4,1,5,7,7,7,7,7,7,5,6,2,1,6,3,2,7,1,7,7,7,7,6,6,6,3,7,7,3,7,2,7,7,7,7,7,6,4,6,6,1,20,1,7,4,2,6,4,6,3,5,1
SS007,1,33,828,2,67,6,99,6,3,2,1,1,1,7,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,7,6,7,7,4,3,7,1,7,7,1,7,1,7,1,4,7,7,7,7,7,7,1,7,1,1,6,1,1,7,3,7,7,7,7,2,7,1,3,7,3,1,7,5,7,7,1,7,7,5,5,5,7,2,0,0,7,2,4,3,6,5,1,2.54,1
SS007,1,34,1301,1,48,4,99,6,3,2,2,1,1,6,1,2,2,1,2,1,1,2,2,1,2,2,2,1,6,6,6,6,6,5,5,5,3,5,6,2,5,3,2,2,4,6,6,6,6,6,6,6,6,4,5,5,4,2,6,4,6,6,7,7,7,7,4,5,6,4,3,7,4,7,6,1,6,6,5,5,6,6,2,0,0,5,4,5,5,5,5,4,5,1
SS007,1,35,869,2,53,4,6,6,3,1,2,2,1,5,2,2,1,2,2,2,2,1,1,1,2,2,2,1,7,7,7,5,6,1,5,7,1,4,7,1,6,1,5,1,7,7,7,7,7,6,7,2,7,1,2,6,1,1,7,1,7,7,5,7,2,6,1,5,7,1,1,7,1,7,7,6,7,7,6,7,7,6,1,25,1,7,7,4,6,7,7,4,0.01,1
SS007,1,36,536,2,73,6,5,7,3,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,5,4,7,4,4,4,3,4,5,3,4,5,3,1,5,1,4,7,7,7,7,7,7,7,7,4,4,7,7,4,7,1,4,4,7,7,6,6,3,3,5,4,3,5,1,4,3,1,3,3,2,4,4,3,2,0,1,4,4,3,4,4,4,1,0,0
SS007,1,37,740,2,35,3,2,1,99,1,1,1,1,7,2,2,1,1,2,1,2,1,2,1,2,2,2,1,7,7,7,7,7,1,7,7,2,7,7,1,7,4,1,1,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,4,7,7,7,7,7,4,7,7,7,4,4,7,5,7,7,6,7,7,7,7,7,7,1,50,1,7,7,7,7,7,7,7,0.31,1
SS007,1,38,648,2,63,5,3,6,3,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,6,4,7,3,4,5,4,5,3,4,5,3,4,1,3,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,6,5,4,5,2,0,0,4,4,3,4,5,5,2,5,1
SS007,1,39,702,2,66,6,99,6,3,1,2,1,1,4,1,1,1,1,2,2,1,1,2,2,2,1,1,2,6,6,7,6,6,5,4,4,4,5,6,3,5,3,3,1,5,7,7,7,7,6,6,6,6,4,4,5,4,3,6,1,7,7,7,6,6,5,2,3,6,4,2,6,1,7,7,4,6,6,6,6,6,6,2,0,0,6,5,5,6,6,7,6,5,1
SS007,1,40,370,2,19,1,1,2,1,2,1,1,1,1,3,2,2,2,2,1,2,1,2,1,2,2,2,2,7,4,7,7,7,3,5,6,4,7,7,2,4,4,3,7,3,7,7,7,7,6,1,4,3,2,4,4,3,1,4,4,5,4,7,5,4,4,7,5,5,4,5,7,7,6,6,2,6,3,4,7,7,2,1,50,1,5,7,7,7,7,1,3,4.9,1
SS007,1,41,604,1,36,3,99,2,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,7,7,7,6,6,4,4,7,2,6,7,1,7,1,1,1,7,7,7,7,7,7,7,7,7,1,4,4,1,1,7,1,7,7,7,7,7,7,4,7,7,7,4,7,4,7,7,6,7,7,6,6,7,7,2,0,0,7,7,4,7,7,7,6,5,1
SS007,1,42,795,1,54,4,99,7,3,1,2,1,1,6,2,2,2,2,1,1,1,2,1,1,2,2,1,2,7,7,7,7,7,1,2,6,1,6,7,1,6,6,1,1,7,6,6,6,6,6,6,6,6,1,1,3,1,1,6,1,6,6,7,7,7,7,4,6,6,4,4,7,4,7,7,7,7,7,2,2,2,2,2,0,0,6,2,2,3,4,4,2,5,1
SS007,1,43,698,1,55,5,6,4,3,2,2,3,1,5,2,2,2,1,2,1,2,1,2,1,2,1,2,2,7,7,7,7,7,3,6,5,3,5,5,3,5,1,1,1,7,7,7,7,7,7,7,5,5,1,1,5,1,1,7,1,7,7,7,7,5,5,1,3,7,3,1,7,1,7,7,7,5,5,4,4,6,5,2,0,0,4,4,4,6,5,5,3,5,1
SS007,1,44,359,2,28,2,4,6,3,2,1,1,1,6,1,1,2,1,1,1,2,1,1,2,2,1,2,2,6,6,7,5,5,4,5,7,2,7,7,1,7,5,4,2,6,5,6,6,6,5,6,4,6,3,4,5,3,2,6,1,7,5,6,6,5,6,4,3,6,6,4,6,2,7,5,7,6,6,5,4,4,5,1,5,1,3,4,3,5,5,5,3,4,1
SS007,1,45,563,2,49,4,4,3,3,2,2,1,1,6,1,1,2,2,2,1,2,1,2,1,2,1,2,1,7,7,7,7,7,4,4,7,1,7,7,1,7,4,4,1,4,7,7,7,7,7,7,4,7,1,4,7,1,1,7,1,7,7,7,7,4,7,1,7,7,4,1,7,1,7,7,6,7,7,7,7,7,7,1,10,1,7,7,7,7,7,7,7,0,0
SS007,1,46,565,2,66,6,5,7,3,2,2,1,1,7,1,2,1,1,2,2,1,2,1,2,2,2,2,2,6,4,5,6,5,3,2,5,7,1,5,7,1,1,7,1,5,7,7,6,6,5,5,5,5,5,1,1,1,1,6,5,5,5,5,5,5,5,5,3,3,3,3,6,5,6,6,2,7,7,6,2,3,2,2,0,0,5,5,1,2,5,2,2,5,1
SS007,1,47,992,1,38,3,5,3,4,1,2,1,1,4,2,1,1,1,1,1,2,1,1,2,2,1,1,1,5,5,7,7,7,2,7,7,2,7,6,2,6,4,6,2,7,7,7,5,5,6,6,7,7,5,6,7,6,6,7,5,7,7,7,6,6,6,5,7,7,5,6,7,5,7,7,6,5,6,4,2,2,2,2,0,0,3,4,4,4,4,4,4,0,0
SS007,1,48,723,1,52,4,6,6,3,2,2,2,3,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,6,6,6,6,6,2,4,4,3,6,6,3,5,1,1,1,5,6,6,6,6,6,6,6,6,6,4,4,4,4,6,4,4,4,6,6,6,6,4,4,4,4,4,6,4,4,4,6,6,6,5,6,5,5,2,0,0,5,5,4,6,5,6,3,0.04,1
SS007,1,49,866,2,37,3,2,5,4,1,2,1,1,7,1,2,2,2,2,1,2,1,2,2,2,2,2,2,7,1,7,7,7,2,7,7,1,7,7,1,7,7,7,6,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1,30,1,7,7,7,7,7,7,7,0,0
SS007,1,50,612,1,65,6,3,5,3,2,2,2,1,3,1,2,2,2,2,1,2,1,1,1,2,2,2,1,5,3,7,5,6,5,5,6,2,5,6,2,6,3,3,3,5,6,6,6,6,6,6,6,6,5,6,6,5,5,6,5,6,6,6,6,6,6,5,6,6,6,5,6,5,6,6,4,6,6,6,5,6,6,1,50,1,5,6,4,5,4,6,6,5,1
SS007,1,51,440,2,41,3,5,6,3,1,2,1,1,1,3,2,2,2,2,1,2,1,2,1,1,2,2,1,7,7,7,7,7,1,7,7,1,7,7,1,7,1,4,1,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,1,1,1,1,1,7,1,1,1,3,7,7,7,7,7,7,1,100,1,7,7,7,7,7,7,7,1,1
SS007,1,52,19885,2,50,4,5,6,2,2,2,2,1,7,1,2,2,2,2,1,1,1,2,1,2,1,1,2,5,6,7,5,6,4,3,5,3,6,6,2,6,2,2,1,6,7,7,7,7,7,7,6,6,1,3,6,1,1,7,2,7,7,7,7,6,6,1,5,5,1,1,7,1,7,7,5,5,6,4,3,5,6,2,0,0,6,3,5,5,4,6,5,5,1
SS007,1,53,1135,1,45,4,3,99,5,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,2,1,4,6,7,6,6,1,4,4,4,5,4,4,5,3,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,5,4,3,3,4,3,4,4,3,4,4,4,5,6,7,7,2,7,5,5,1,30,1,1,5,5,6,5,7,6,0.19,1
SS007,1,54,613,2,38,3,3,6,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,7,7,6,6,7,3,6,6,3,6,7,3,7,4,7,1,6,7,7,6,5,7,7,7,7,2,5,6,2,4,7,2,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,2,0,0,5,3,4,7,7,7,7,0,0
SS007,1,55,525,2,49,4,3,2,3,2,2,2,1,2,3,1,2,2,2,1,1,1,2,1,2,1,2,1,5,5,7,6,6,3,5,7,7,7,7,2,6,4,2,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,2,7,7,7,7,7,7,4,7,7,4,4,7,4,7,7,2,7,7,7,7,7,7,2,0,0,7,7,4,6,7,6,6,5,1
SS007,1,56,446,2,63,5,3,6,3,1,2,1,1,6,2,1,1,1,1,1,1,2,2,1,2,1,1,2,7,7,7,6,6,4,4,6,2,6,6,1,6,5,5,1,6,7,7,7,7,7,7,7,7,4,4,7,4,1,7,1,7,7,7,7,7,7,4,7,7,4,1,7,1,7,7,2,6,6,6,6,6,6,2,0,0,6,6,4,7,7,7,4,0,0
SS007,1,57,452,2,38,3,7,8,3,2,2,1,1,7,1,2,1,1,1,2,2,2,2,1,2,1,1,2,7,7,6,4,4,5,4,6,3,5,6,2,4,2,5,5,4,5,7,7,6,4,5,4,5,3,2,3,2,2,5,3,7,7,3,3,3,3,3,3,3,3,3,6,5,7,7,1,6,6,5,5,4,5,2,0,0,3,3,6,6,5,4,3,5,1
SS007,1,58,781,1,34,2,5,2,3,2,2,3,1,6,1,2,1,1,1,2,1,1,2,2,2,1,2,2,6,5,7,3,5,5,5,6,1,7,7,1,7,6,1,1,5,7,7,7,7,7,7,7,7,1,1,7,1,1,7,1,7,7,5,5,6,5,1,2,7,4,3,6,1,7,7,6,7,7,7,6,7,6,2,0,0,6,4,2,7,7,7,5,0,0
SS007,1,59,693,1,74,6,4,6,3,2,2,3,1,6,2,2,2,2,2,1,2,2,2,1,2,1,1,1,6,4,7,5,5,4,4,5,4,4,6,2,4,1,1,1,5,7,7,7,7,7,7,7,7,2,2,4,1,1,6,1,7,7,5,5,5,5,4,2,4,2,1,5,1,7,7,5,5,6,5,4,4,4,2,0,0,4,3,3,5,5,5,4,0.02,1
SS007,1,60,463,1,45,4,4,7,3,1,1,1,1,7,3,1,2,2,2,1,1,1,2,1,2,1,1,1,3,4,7,7,7,6,5,4,4,5,4,4,3,1,1,1,1,7,7,7,6,7,7,2,7,1,3,3,1,1,7,1,7,6,7,7,7,7,1,5,4,2,1,7,1,3,3,5,6,5,4,5,3,5,1,2,1,1,2,2,2,2,5,6,5,1
SS007,1,61,340,2,18,1,4,6,3,1,1,1,1,7,1,1,1,2,2,1,1,1,1,1,1,1,1,1,7,1,7,7,7,1,7,7,1,7,7,1,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,2,0,0,7,7,7,5,7,7,1,5,1
SS007,1,62,605,2,53,4,99,5,3,2,2,1,1,4,3,2,2,1,2,1,2,1,2,1,2,2,2,2,4,4,7,3,7,1,7,7,1,6,7,1,6,5,7,5,7,7,7,7,7,7,7,7,7,2,5,6,2,1,7,1,7,7,4,4,4,4,4,4,4,4,4,5,1,7,7,2,7,7,6,7,7,5,2,0,0,7,7,5,6,7,3,6,0,0
SS007,1,63,702,1,57,5,5,2,3,2,2,2,1,7,2,2,2,2,2,1,2,1,2,1,1,2,2,1,7,4,7,6,7,2,5,7,1,7,7,1,7,6,4,2,7,7,7,7,7,7,7,7,7,5,5,6,4,4,7,4,7,7,7,7,7,7,5,4,6,4,3,7,4,7,7,2,7,7,6,6,5,6,2,0,0,6,6,4,6,7,6,6,5,1
SS007,1,64,516,2,54,4,7,3,3,2,2,3,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,3,4,6,4,3,7,1,3,3,4,4,3,4,1,3,1,1,6,7,7,6,5,5,4,4,1,1,2,1,1,5,1,5,4,5,5,3,4,1,1,1,1,1,5,1,5,5,3,5,5,3,2,4,4,2,0,0,4,4,2,4,3,5,3,0,0
SS007,1,65,574,2,75,7,3,6,3,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,4,3,6,4,3,5,3,3,4,3,4,3,4,1,1,1,1,6,6,6,6,6,6,6,6,3,3,4,3,2,5,1,5,5,5,7,7,5,3,3,5,3,2,5,2,5,6,7,6,6,5,4,4,4,2,0,0,5,5,4,5,5,5,4,0,0
